ObjectID,AccessionNumber,MediaXrefID,ImageURL,Filename,MediaType,MediaView,Rank,IsPrimary
98854,1946.316.1,89373,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000228_300-tms.jpg,CPS_1946.316.1_DD_000228_300-tms.jpg,Image,,20,0
98854,1946.316.1,89374,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000230_300-tms.jpg,CPS_1946.316.1_DD_000230_300-tms.jpg,Image,,21,0
98854,1946.316.1,89375,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000232_300-tms.jpg,CPS_1946.316.1_DD_000232_300-tms.jpg,Image,,22,0
98854,1946.316.1,89376,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000239_300-tms.jpg,CPS_1946.316.1_DD_000239_300-tms.jpg,Image,,23,0
98854,1946.316.1,89377,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000240_300-tms.jpg,CPS_1946.316.1_DD_000240_300-tms.jpg,Image,,24,0
98854,1946.316.1,89378,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000241_300-tms.jpg,CPS_1946.316.1_DD_000241_300-tms.jpg,Image,,25,0
98854,1946.316.1,89379,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000242_300-tms.jpg,CPS_1946.316.1_DD_000242_300-tms.jpg,Image,,26,0
98854,1946.316.1,89380,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000243_300-tms.jpg,CPS_1946.316.1_DD_000243_300-tms.jpg,Image,,27,0
98854,1946.316.1,89381,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000244_300.jpg,CPS_1946.316.1_DD_000244_300.jpg,Image,,28,0
98854,1946.316.1,89382,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000245_300.jpg,CPS_1946.316.1_DD_000245_300.jpg,Image,,29,0
98854,1946.316.1,89383,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000246_300-tms.jpg,CPS_1946.316.1_DD_000246_300-tms.jpg,Image,,30,0
98854,1946.316.1,89384,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000247_300-tms.jpg,CPS_1946.316.1_DD_000247_300-tms.jpg,Image,,31,0
98854,1946.316.1,89385,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000251_300-tms.jpg,CPS_1946.316.1_DD_000251_300-tms.jpg,Image,,32,0
98854,1946.316.1,89536,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000001_300-tms.jpg,CPS_1946.316.1_DD_000001_300-tms.jpg,Image,,33,0
98854,1946.316.1,89537,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000005_300-tms.jpg,CPS_1946.316.1_DD_000005_300-tms.jpg,Image,,34,0
98854,1946.316.1,89538,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000031_300-tms.jpg,CPS_1946.316.1_DD_000031_300-tms.jpg,Image,,35,0
98854,1946.316.1,89539,https://art.thewalters.org/images/raw/CPS_1946.316.1_DD_000032_300-tms.jpg,CPS_1946.316.1_DD_000032_300-tms.jpg,Image,,36,0
98854,1946.316.1,89921,https://art.thewalters.org/images/raw/PS1_1946.316.1.31v-32r_OpnBack_DD_AT18-035042-tms.jpg,PS1_1946.316.1.31v-32r_OpnBack_DD_AT18-035042-tms.jpg,Image,back,37,0
