"LocationID","DisplayCurrentLocation","Site","Floor","Area","Room","UnitType","PublicAccess","LocationURL"
"818","Charles Street: Second Floor: Chinese Snuff Bottles","Charles Street"," Second Floor"," Chinese Snuff Bottles","","","1","https://art.thewalters.org/browse/location/chinese-snuff-bottles"
"819","Centre Street: First Floor: Lobby","Centre Street"," First Floor"," Lobby","","","1","https://art.thewalters.org/browse/location/lobby"
"820","Charles Street: Stairway to Scuplture Court","Charles Street","Charles Street"," Stairway to Scuplture Court","","","1","https://art.thewalters.org/browse/location/stairway-to-scuplture-court"
"821","Charles Street: Third Floor: Excursions through the Collection - Portraiture, Adornment, and the Natural World","Charles Street"," Third Floor"," Excursions through the Collection - Portraiture, Adornment, and the Natural World","","","1","https://art.thewalters.org/browse/location/excursions-through-the-collection---portraiture-adornment-and-the-natural-world"
"822","Centre Street: Fourth Floor: Boldini and his Circle","Centre Street"," Fourth Floor"," Boldini and his Circle","","","1","https://art.thewalters.org/browse/location/boldini-and-his-circle"
"823","Centre Street: Fourth Floor: Translations and Transitions / Traducciones y Transiciones - A Celebration of Mexican and Central American Independence (1821–2021)","Centre Street"," Fourth Floor"," Translations and Transitions / Traducciones y Transiciones - A Celebration of Mexican and Central American Independence (1821–2021)","","","1","https://art.thewalters.org/browse/location/translations-and-transitions---traducciones-y-transiciones---a-celebration-of-mexican-and-central-american-independence-1821ai2021"
"824","Centre Street: Fourth Floor: Recent Acquisitions - Expanding the Collection","Centre Street"," Fourth Floor"," Recent Acquisitions - Expanding the Collection","","","1","https://art.thewalters.org/browse/location/recent-acquisitions---expanding-the-collection"
"825","Centre Street: First Floor: Selections from the 19th-Century European and North American Collection","Centre Street"," First Floor"," Selections from the 19th-Century European and North American Collection","","","1","https://art.thewalters.org/browse/location/selections-from-the-19th-century-european-and-north-american-collection"
"826","Charles Street: Second Floor: 18th- and 19th-Century Treasury Vestibule","Charles Street"," Second Floor"," 18th- and 19th-Century Treasury Vestibule","","","1","https://art.thewalters.org/browse/location/18th--and-19th-century-treasury-vestibule"
"827","Charles Street: Second Floor: 18th- and 19th-Century Treasury Alcove","Charles Street"," Second Floor"," 18th- and 19th-Century Treasury Alcove","","","1","https://art.thewalters.org/browse/location/18th--and-19th-century-treasury-alcove"
"828","Charles Street: Stairway to the Scuplture Court","Charles Street","Charles Street"," Stairway to the Scuplture Court","","","1","https://art.thewalters.org/browse/location/stairway-to-the-scuplture-court"
"829","1 West Mount Vernon Place: First Floor: Majolica Mania!","1 West Mount Vernon Place"," First Floor"," Majolica Mania!","","","1","https://art.thewalters.org/browse/location/majolica-mania"
"830","Charles Street: Third Floor: Cupola","Charles Street"," Third Floor"," Cupola","","","1","https://art.thewalters.org/browse/location/cupola"
"831","Hackerman House at 1 West Mount Vernon Place: First Floor: Library","Hackerman House at 1 West Mount Vernon Place"," First Floor"," Library","","","1","https://art.thewalters.org/browse/location/library"
"832","Hackerman House at 1 West Mount Vernon Place: Lobby","Hackerman House at 1 West Mount Vernon Place","Hackerman House at 1 West Mount Vernon Place"," Lobby","","","1","https://art.thewalters.org/browse/location/lobby-2"
"833","Centre Street: First Floor: Selections from the 19th-Century European and North American Collection","Centre Street"," First Floor"," Selections from the 19th-Century European and North American Collection","","","1","https://art.thewalters.org/browse/location/selections-from-the-19th-century-european-and-north-american-collection-2"
"834","Centre Street: Third Floor: Medieval Mediterranean","Centre Street"," Third Floor"," Medieval Mediterranean","","","1","https://art.thewalters.org/browse/location/medieval-mediterranean"
"835","Hackerman House at 1 West Mount Vernon Place: First Floor: Parlor","Hackerman House at 1 West Mount Vernon Place"," First Floor"," Parlor","","","1","https://art.thewalters.org/browse/location/parlor"
"836","Hackerman House at 1 West Mount Vernon Place: First Floor: Entryway","Hackerman House at 1 West Mount Vernon Place"," First Floor"," Entryway","","","1","https://art.thewalters.org/browse/location/entryway"
"837","Hackerman House at 1 West Mount Vernon Place: First Floor: Conservatory","Hackerman House at 1 West Mount Vernon Place"," First Floor"," Conservatory","","","1","https://art.thewalters.org/browse/location/conservatory"
"838","Hackerman House at 1 West Mount Vernon Place: First Floor: Dining Room","Hackerman House at 1 West Mount Vernon Place"," First Floor"," Dining Room","","","1","https://art.thewalters.org/browse/location/dining-room"
"839","Hackerman House at Hackerman House at 1 West Mount Vernon Place: First Floor: Parlor","Hackerman House at Hackerman House at 1 West Mount Vernon Place"," First Floor"," Parlor","","","1","https://art.thewalters.org/browse/location/parlor-2"
"840","Centre Street: Fourth Floor: Across Asia - Arts of Asia and the Islamic World","Centre Street"," Fourth Floor"," Across Asia - Arts of Asia and the Islamic World","","","1","https://art.thewalters.org/browse/location/across-asia---arts-of-asia-and-the-islamic-world"
