"ExhibitionID","ExhTitle","ExhibEndDate","ExhibBeginYear","ExhibEndYear","Textblock","WaltersArtworks"
"3300","From Rye to Raphael: The Walters Story","17/4/2016"," 2014","2016","From Rye to Raphael: The Walters Story. The Walters Art Museum, Baltimore. 2014-2016.","142|219|456|597|637|938|1018|1025|1323|1327|1550|1642|1693|1700|1721|1952|1985|2067|2326|2336|2485|2658|2848|2891|3117|3288|3294|3537|3792|3942|4216|4265|4432|4497|4668|4911|4919|5355|5408|5498|5667|5782|5888|6141|6150|6231|6241|6288|6301|6553|7049|7213|7302|7359|7638|7916|7939|7985|8029|8079|8176|8186|8366|8491|8736|9006|9022|9080|9087|9237|9469|9499|9597|9618|9820|10015|10245|10990|11173|11218|11281|11599|11915|12037|12197|12697|12838|12858|13253|13283|13499|13594|14013|14104|14191|14204|14245|14327|14383|14665|14709|14933|14934|15225|15324|15352|15418|15534|15555|16288|16363|16473|16631|16780|16797|16873|17030|17156|17220|17251|17409|17414|17503|17681|17847|17910|18275|18600|18890|18986|19136|19302|19386|19510|19760|19883|20158|20184|20304|20358|20599|20727|20972|20975|21055|21138|21331|21367|21510|21547|21571|21652|22059|22135|22259|22459|22652|22738|22767|22964|23250|23597|23603|23660|23674|24251|24337|24493|25174|25287|25373|25440|25642|25711|25737|25856|26094|26454|26804|26866|26954|27482|27564|27666|2"
"3309","A Renaissance Original: Carlo Crivelli  ","22/5/2016"," 2016","2016","A Renaissance Original: Carlo Crivelli  . The Walters Art Museum, Baltimore. 2016.","323|33328"
"3391","Gérôme and His Circle: Travel, Art, and Business in the Middle East","7/2/2016"," 2015","2016","Gérôme and His Circle: Travel, Art, and Business in the Middle East. The Walters Art Museum, Baltimore. 2015-2016.","2884|5835|10181|11093|11703|12173|12852|14204|18219|23634|28374|30379|33847|34110|36517"
"3390","Madame de Pompadour, Patron and Printmaker","29/5/2016"," 2016","2016","Madame de Pompadour, Patron and Printmaker. The Walters Art Museum, Baltimore. 2016.","9513|11096|14457|17579|17938|21207|22901|24490|40797|87358|95425|95426|95452|95464|95499|95503|95510|95511|95517|96217"
"3334","Pearls on a String: Artists, Patrons, and Poets at the Great Islamic Courts","8/5/2016"," 2015","2016","Pearls on a String: Artists, Patrons, and Poets at the Great Islamic Courts. The Walters Art Museum, Baltimore; Asian Art Museum, San Francisco. 2015-2016.","218|1416|1699|1797|1945|2308|2726|3563|4394|4497|5476|5873|6553|7477|7538|8155|8897|9184|9478|9601|11432|13603|14364|15156|15555|17242|17363|19195|20226|20664|21516|22205|22655|23072|23411|23603|25627|26464|28127|28622|29083|30227|30289|30660|31416|31546|32899|33144|33204|33494|34542|34667|35208|36950|36975|37443|37654|38025|39296|39881|39988|40161|40261|40564|78190|78279|78280|78295|79097|79934|81158|81159|81160|81161|82700|82701|84294|84829|88788|88802|88806|91088|91121|92366|92367|94063|94064"
"3276","Rinehart's Studio: Rough Stone to Living Marble","30/8/2015"," 2015","2015","Rinehart's Studio: Rough Stone to Living Marble. The Walters Art Museum, Baltimore. 2015.","212|720|1931|4557|9232|9237|12113|13273|13829|14639|17313|17319|20809|32192|33310|34760|35112|36185|38595|40458"
"3381","Gold of the Ancient Americas","11/10/2015"," 2015","2015","Gold of the Ancient Americas. The Walters Art Museum, Baltimore. 2015.","613|2281|9074|10368|10540|13291|14274|14606|15663|18140|18881|19307|19640|21577|22600|25092|25810|29655|30457|30958|31035|31427|32476|32541|32657|32737|33281|33285|34003|34230|34540|37286|39660|40868|79411|80172|80220|80226|80229|80230|80232|80233|80236|80237|80241|80243|80373|80374|80395|80396|80405|80415|80428|80437"
"3318","From Pen to Press: Experimentation and Innovation in the Age of Print","12/4/2015"," 2014","2015","From Pen to Press: Experimentation and Innovation in the Age of Print. The Walters Art Museum, Baltimore. 2014-2015.","122|4710|5820|6794|7525|9172|9208|11647|13626|15922|17651|21330|25539|25582|27105|31081|32210|32501|34857|36048|36267|40339|79360"
"3193","Egypt’s Mysterious Book of the Faiyum","5/1/2014"," 2013","2014","Egypt’s Mysterious Book of the Faiyum. The Walters Art Museum, Baltimore. 2013-2014.","98|550|812|1216|1605|2978|3396|3652|4415|5710|5872|6521|6796|6873|7412|8592|10899|12240|14067|14857|15392|16606|16688|17195|17413|17729|18416|18572|19195|19955|20674|21194|22421|23346|25775|26532|26826|27019|28352|28580|30010|31317|32465|32548|32755|32904|33154|34004|34601|34901|36859|37413|37415|37893|39570|39638|39873|79099|79881|79882"
"3272","The Janet & Walter Sondheim Artscape Prize 2014 Finalists","17/8/2014"," 2014","2014","The Janet & Walter Sondheim Artscape Prize 2014 Finalists. The Walters Art Museum, Baltimore. 2014.","2791|14764|26478|31558|35249|35562"
"3316","Seeing Music in Medieval Manuscripts","12/10/2014"," 2014","2014","Seeing Music in Medieval Manuscripts. The Walters Art Museum, Baltimore. 2014.","2209|3542|4370|7922|9218|9283|9461|13014|13576|14323|15178|15540|17726|18253|20837|21368|21475|25437|30467|31039|31525|31653|31958|33418|36269|36938|78105|80481|80482|85216|91030|92290"
"3271","American Artists Abroad: Works from the Permanent Collection ","22/6/2014"," 2014","2014","American Artists Abroad: Works from the Permanent Collection . The Walters Art Museum, Baltimore. 2014.","7859|8324|8726|9211|9356|9788|12936|16554|18862|19454|20557|20838|21470|21891|24607|26721|40001|40458|92334|92335"
"2114","Threshold to the Sacred: The Ark Door of Cairo’s Ben Ezra Synagogue ","23/2/2014"," 2013","2014","Threshold to the Sacred: The Ark Door of Cairo’s Ben Ezra Synagogue . The Walters Art Museum, Baltimore; Yeshiva University Museum, New York. 2013-2014.","74|2384|10933|16136|17137|18422|20558|25339|26314|29258|36867"
"3254","Bookbindings from the Gilded Age","18/5/2014"," 2013","2014","Bookbindings from the Gilded Age. The Walters Art Museum, Baltimore. 2013-2014.","19029|84550|84551|84600|84805|85154|87716|87771|87802|87888|87933|88063|88102|88124|88137|88170|89768|89789|89803|89840|89846|90558"
"3222","Designed for Flowers: Contemporary Japanese Ceramics","11/5/2014"," 2014","2014","Designed for Flowers: Contemporary Japanese Ceramics. The Walters Art Museum, Baltimore. 2014.","2691|2953|5027|7245|10017|26135|40523"
"2988","Exploring Art of the Ancient Americas: The John Bourne Collection Gift","18/8/2013"," 2012","2013","Exploring Art of the Ancient Americas: The John Bourne Collection Gift. The Walters Art Museum, Baltimore; Frist Center for the Visual Arts, Nashville. 2012-2013.","80156|80157|80160|80161|80162|80164|80165|80167|80170|80171|80176|80177|80178|80181|80182|80183|80184|80185|80187|80188|80190|80191|80192|80193|80194|80195|80196|80197|80200|80201|80202|80204|80205|80206|80208|80210|80214|80216|80217|80218|80219|80220|80226|80229|80230|80231|80236|80241|80243|80245|80246|80250|80252|80253|80254|80256|80257|80260|80265|80266|80272|80281|80288|80289|80290|80292|80294|80303|80304|80311|80315|80316|80320|80326|80327|80330|80332|80335|80340|80347|80349|80351|80353|80356|80360|80361|80362|80363|80364|80366|80367|80369|80370|80373|80374|80377|80379|80381|80382|80383|80385|80386|80387|80390|80391|80394|80396|80397|80403|80405|80408|80410|80414|80416|80418|80419|80424|80425|80427|80429|80433|80435|80437|80440|80443|80448|82864|85454|85456|85457|85458|85462|85463"
"3181","Diadem and Dagger: Jewish Artisans of Yemen","21/1/2013"," 2012","2013","Diadem and Dagger: Jewish Artisans of Yemen. The Walters Art Museum, Baltimore. 2012-2013.","76512|76629|80913|80914|80917|80918|80919|80920|80921|80922|80923|80924|80925|80926|80927|80928|80929|80930|80931|80932|80933|80934|80935|80936|80937|80938"
"2444","Revealing the African Presence in Renaissance Europe","9/6/2013"," 2012","2013","Revealing the African Presence in Renaissance Europe. The Walters Art Museum, Baltimore; Princeton University Art Museum, Princeton. 2012-2013.","2543|3327|4096|4405|4442|10721|11681|12854|13088|13267|16032|24598|26104|26478|27509|27654|28312|31403|34300|39963|79126|82754|85437|85474"
"2834","New Eyes on America: The Genius of Richard Caton Woodville","3/11/2013"," 2013","2013","New Eyes on America: The Genius of Richard Caton Woodville. The Walters Art Museum, Baltimore; Mint Museum of Art Uptown, Charlotte. 2013.","334|3064|9008|10774|11624|20887|20946|21710|22135|23626|25563|28889|29511|30527|32108|33726|35049|37147|37791|39420|82782|88535"
"3231","Living by the Book: Monks, Nuns, and Their Manuscripts","29/9/2013"," 2013","2013","Living by the Book: Monks, Nuns, and Their Manuscripts. The Walters Art Museum, Baltimore. 2013.","235|1021|1276|1944|4016|4059|4114|5036|9603|12654|13018|14176|17553|18616|18900|19423|19908|19922|22171|24116|26129|26599|27819|29703|32220|33540|33885|34845|37433|39308|78058|85656|85657|88774|90565|90567|90568|90571|90572|90575|90578|90585"
"2173","Mummified","8/11/2013"," 2008","2013","Mummified. The Walters Art Museum, Baltimore. 2008-2013.","4970|9453|13652|14971|17209|19384|21194|24480|24868|32133|34520|38988|39775|39839|40736"
"3061","Lost and Found: The Secrets of Archimedes","1/1/2012"," 2011","2012","Lost and Found: The Secrets of Archimedes. The Walters Art Museum, Baltimore. 2011-2012.","2349|2909|5799|9706|16294|17872|19629|21135|21184|27152|29123|30333|31403|37352|39384|80206"
"3137","Touch and the Enjoyment of Sculpture: Exploring the Appeal of Renaissance Statuettes","15/4/2012"," 2012","2012","Touch and the Enjoyment of Sculpture: Exploring the Appeal of Renaissance Statuettes. The Walters Art Museum, Baltimore. 2012.","2093|6141|6565|7168|8393|13464|21684|24314|27282|27471|39155"
"3147","Thai Story: The Vessantara Jataka","22/1/2012"," 2011","2012","Thai Story: The Vessantara Jataka. The Walters Art Museum, Baltimore. 2011-2012.","3580|11923|16384|23112|25979|28184|29121|31737|37187|37215|39233|81930|81945"
"3148","Near Paris: The Watercolors of Léon Bonvin","20/5/2012"," 2012","2012","Near Paris: The Watercolors of Léon Bonvin. The Walters Art Museum, Baltimore. 2012.","1809|2570|3154|3175|4193|4829|6127|6737|7639|8801|9911|17483|19929|22830|25532|26425|27672|29695|31226|31952|33892|34202|36619|37395"
"3154","Hashiguichi Goyo's Beautiful Women","12/8/2012"," 2012","2012","Hashiguichi Goyo's Beautiful Women. The Walters Art Museum, Baltimore. 2012.","82706|82707|82708|82709|82710|82711|82712|82713|82714|82715|82716|82720|82721|82722"
